/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', 'forward', None)
('left', 'green', None, None)
 -- forward : 0.36
 -- None : -2.73
 -- right : 0.49
 -- left : 2.06

('left', 'green', None, 'right')
 -- forward : 0.00
 -- None : -2.54
 -- right : 0.64
 -- left : 0.00

('forward', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', None)
 -- forward : 0.97
 -- None : 0.00
 -- right : 0.00
 -- left : 0.14

('left', 'green', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.07
 -- left : 0.00

('left', 'red', 'forward', None)
 -- forward : -30.05
 -- None : 0.00
 -- right : -9.93
 -- left : -19.79

('right', 'red', None, None)
 -- forward : -24.04
 -- None : -0.03
 -- right : 1.55
 -- left : -7.56

('left', 'red', 'left', None)
 -- forward : -5.39
 -- None : 1.05
 -- right : 0.00
 -- left : -20.07

('left', 'green', 'forward', 'right')
 -- forward : 0.48
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', None)
 -- forward : 1.04
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : -0.26
 -- left : 0.00

('forward', 'red', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', None)
 -- forward : -4.90
 -- None : 0.24
 -- right : 1.82
 -- left : -5.47

('right', 'red', 'right', None)
 -- forward : -5.34
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'left')
 -- forward : -9.05
 -- None : 1.82
 -- right : 0.94
 -- left : -13.46

('right', 'red', None, 'right')
 -- forward : -5.46
 -- None : 0.11
 -- right : 0.00
 -- left : -19.94

('right', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.40

('forward', 'red', None, 'forward')
 -- forward : -7.23
 -- None : 2.11
 -- right : 0.34
 -- left : 0.00

('forward', 'green', 'left', 'forward')
 -- forward : 1.36
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'left')
 -- forward : 0.00
 -- None : 0.85
 -- right : 1.68
 -- left : 0.00

('forward', 'green', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.90
 -- left : 0.00

('left', 'red', 'left', 'forward')
 -- forward : -6.88
 -- None : 0.73
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'forward')
 -- forward : -19.74
 -- None : 0.00
 -- right : -9.93
 -- left : -20.15

('forward', 'red', 'right', None)
 -- forward : -4.62
 -- None : 0.00
 -- right : 1.23
 -- left : -5.14

('right', 'red', 'forward', None)
 -- forward : -20.20
 -- None : 0.17
 -- right : -9.53
 -- left : -20.19

('forward', 'green', 'forward', 'forward')
 -- forward : 0.79
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'right')
 -- forward : -0.01
 -- None : 0.00
 -- right : 0.00
 -- left : -9.85

('left', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.05
 -- left : 0.00

('left', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : -3.75
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'left')
 -- forward : -8.06
 -- None : 2.11
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left')
 -- forward : -22.58
 -- None : 0.00
 -- right : 0.00
 -- left : -5.25

('right', 'red', None, 'forward')
 -- forward : -4.55
 -- None : 0.00
 -- right : 1.89
 -- left : 0.00

('forward', 'green', 'right', 'left')
 -- forward : 0.97
 -- None : 0.00
 -- right : 0.18
 -- left : 0.00

('right', 'green', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.53
 -- left : 0.00

('left', 'green', 'left', 'forward')
 -- forward : 0.00
 -- None : -2.64
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'right')
 -- forward : 1.44
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left')
 -- forward : -19.84
 -- None : 0.00
 -- right : -9.92
 -- left : 0.00

('forward', 'green', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.47
 -- left : 0.96

('right', 'red', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.27
 -- right : -9.52
 -- left : 0.00

('right', 'green', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.29
 -- left : 0.00

('right', 'green', None, None)
 -- forward : -0.08
 -- None : -4.82
 -- right : 1.97
 -- left : 0.26

('forward', 'red', None, 'right')
 -- forward : -20.19
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, None)
 -- forward : -10.36
 -- None : 1.58
 -- right : 0.31
 -- left : -7.75

('right', 'green', None, 'left')
 -- forward : 0.00
 -- None : -2.86
 -- right : 0.92
 -- left : 0.00

('forward', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : -2.79
 -- right : 0.00
 -- left : 0.34

('right', 'green', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -9.65

('forward', 'red', 'right', 'forward')
 -- forward : -5.25
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', None)
 -- forward : 0.14
 -- None : -2.95
 -- right : 0.00
 -- left : 0.44

('right', 'green', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 1.56
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.84
 -- right : 0.00
 -- left : -20.47

('left', 'red', None, None)
 -- forward : -22.45
 -- None : 1.88
 -- right : 0.64
 -- left : -8.36

('forward', 'green', None, 'forward')
 -- forward : 2.17
 -- None : -2.85
 -- right : 0.65
 -- left : 0.00

('left', 'green', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -9.59

('left', 'green', 'left', None)
 -- forward : 0.26
 -- None : 0.00
 -- right : -0.43
 -- left : 2.27

('left', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 0.44
 -- right : 0.76
 -- left : 0.00

('forward', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -19.96

('right', 'red', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.50
 -- left : 0.00

('right', 'green', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.82

('left', 'red', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.76
 -- left : 0.00

('forward', 'green', None, 'left')
 -- forward : 0.00
 -- None : -2.03
 -- right : 0.42
 -- left : 1.24

('left', 'green', None, 'left')
 -- forward : 0.36
 -- None : -2.62
 -- right : 0.84
 -- left : 0.00

('forward', 'red', 'right', 'left')
 -- forward : -5.22
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

